Balivanich,-17987,51,-3052,-17,-386,-1791,-267,1006,816,488,475,177,-222,-210,156,-240,10
Ballinskelligs Bay Castle,-25673,51,-1692,-87,-249,-1571,-140,679,811,-67,319,-3,-245,22,28,-128,5
Ballycastle Bay,-13455,52,-1743,-4011,-1267,-1387,-759,398,256,1060,-292,529,-64,-30,205,279,23
Ballycotton,-22358,53,-2059,473,-294,-1571,-88,732,812,-72,315,-127,-267,56,-19,-153,5
Ballycrovane Harbour,-25493,50,-1692,-86,-250,-1571,-140,679,811,-68,319,-3,-245,23,28,-128,5
Ballysadare Bay (Culleenamore),-18579,50,-2198,-263,-630,-1580,-71,836,743,119,448,-17,-211,-62,-36,-265,9
Baltasound Pier,-3736,49,-2299,239,-344,-1718,-139,793,795,141,481,-32,-250,-74,32,-214,11
Baltimore,-22979,50,-1954,315,-282,-1571,-102,716,811,-72,317,-92,-261,47,-5,-147,5
Banff,3101,50,-2202,1000,-573,-1613,-80,838,736,209,270,-130,-243,-7,-43,-159,10
Bangor,-545,49,-1996,181,-559,-1691,-83,797,721,51,413,-191,-257,46,-5,-194,8
Bantry,-24180,50,-1956,305,-276,-1570,-103,714,810,-67,318,-90,-260,45,-4,-145,5
Barcaldine Pier,-19416,53,-3400,-80,-170,-1643,-106,893,1204,364,1057,156,-615,-290,104,-436,17
Bardsey Island,-12350,55,-2263,222,-470,-1688,-144,849,788,245,527,-49,-303,-81,32,-238,8
Barmouth,-11622,58,-2456,513,-387,-1634,-128,808,812,8,516,-157,-336,-30,61,-258,8
Barnstaple,-19544,35,-2458,272,-266,-1706,-134,849,873,-27,547,-136,-351,-10,28,-243,6
Barra Head,-19094,51,-2950,-258,-362,-1794,-294,989,818,487,455,205,-207,-220,171,-225,10
Barra (North Bay),-18480,51,-2924,-311,-362,-1793,-298,986,822,483,451,209,-205,-222,173,-223,10
Barrow (Ramsden Dock),301,53,-2319,328,-410,-1619,-148,806,750,43,385,-112,-269,-18,42,-224,6
Barry,-16989,49,-2425,1183,-134,-1693,31,788,856,-142,553,-178,-333,11,-29,-262,7
Bartlett Creek,4955,50,-2109,1216,-464,-1590,20,814,730,-168,301,-329,-216,135,-81,-194,7
Battlesbridge,5626,50,-2183,1104,-438,-1636,-7,863,727,-176,347,-327,-249,123,-37,-180,7
Bawdsey,25,48,-2140,901,-408,-1642,-32,851,732,-159,374,-290,-252,102,-18,-178,6
Bay Of Laig,-18930,51,-3553,24,-177,-1648,-98,911,1206,371,1061,141,-632,-287,98,-443,18
Bay Of Quendale,-2678,49,-2315,145,-343,-1719,-150,793,796,133,483,-26,-250,-77,37,-213,11
Bays Loch,-17227,51,-2863,-436,-356,-1791,-310,976,827,473,442,215,-199,-222,179,-214,10
Beachley (Aust),-15053,56,-2407,1407,2,-1617,94,787,835,-245,548,-297,-335,76,-39,-304,8
Beaumaris,-2320,53,-2302,235,-506,-1676,-136,857,800,200,521,-88,-309,-53,24,-240,8
Bee Ness,4349,50,-2192,1049,-453,-1596,0,818,730,-171,318,-315,-221,127,-70,-199,7
Belfast,-587,49,-2090,180,-693,-1791,-120,641,661,54,277,-187,-165,36,-82,-99,8
Bembridge Approaches,103,45,-2121,0,-487,-1598,-86,912,808,28,475,-187,-375,23,-15,-237,11
Bembridge Harbour,1252,48,-2180,572,-528,-1580,-30,936,813,40,473,-243,-387,53,-60,-241,11
Berkeley,-13543,68,-2584,1561,-11,-1619,111,805,833,-249,560,-361,-343,92,-60,-314,8
Berwick,12359,49,-2338,24,-540,-1623,-163,810,764,142,390,-92,-256,-34,23,-176,9
Bideford,-20397,54,-2453,487,-277,-1700,-111,849,873,-15,537,-150,-352,-1,18,-243,6
Black Ball Harbour,-25433,51,-1692,-85,-250,-1571,-140,679,811,-68,319,-3,-245,23,28,-128,5
Black Tar,-18079,49,-2359,829,-307,-1692,-70,843,870,-15,532,-213,-346,23,-13,-246,6
Blackpool,-1241,53,-2467,151,-382,-1693,-144,865,841,32,479,-95,-301,-40,51,-226,6
Blacksod Quay,-20670,49,-2206,-243,-625,-1583,-72,838,743,129,455,-9,-212,-64,-32,-267,10
Blacktoft,-16909,64,-2560,372,-479,-1713,-84,642,886,-33,323,-101,-259,21,-9,-37,12
Blakeney,-16358,50,-2552,233,-291,-1709,-165,739,898,-114,549,-68,-362,33,118,-224,12
Blakeney Bar,-18412,50,-2504,429,-291,-1702,-142,732,898,-98,538,-78,-359,39,107,-218,12
Cullivoe,-4964,48,-2253,-43,-295,-1585,-104,818,638,146,484,12,-229,-91,30,-269,17
Blyth,15082,51,-2254,99,-581,-1541,-138,743,687,60,344,-55,-227,-10,95,-173,9
Bofin Harbour,-21754,49,-2276,51,-636,-1588,-45,862,744,137,492,-25,-219,-52,-45,-281,10
Bognor Regis,-456,48,-2309,478,-317,-1950,-71,695,891,-83,532,-76,-339,-4,63,-109,7
Bonawe,-13233,55,-3368,122,-201,-1638,-83,892,1215,331,1066,77,-632,-245,78,-440,17
Boscastle,-20511,46,-2421,1374,-332,-1684,-12,858,871,16,490,-237,-354,44,-38,-242,7
Bosham,1038,50,-2156,284,-461,-1655,131,798,751,51,437,-293,-223,34,-90,-59,9
Boston,-18865,58,-2724,100,-471,-1305,-245,352,474,-110,555,-44,-173,55,194,-132,11
Bouley Bay,-18400,53,-2641,1033,-130,-1739,-85,891,997,-159,677,-229,-457,21,19,-300,9
Bovisand Pier,-21604,51,-2279,1150,103,-1639,55,891,824,-209,550,-223,-390,25,-71,-263,9
Bowling,4758,49,-2432,1307,-529,-1516,24,618,817,-225,399,-518,-365,222,-144,-119,15
Bradwell Waterside,3208,50,-1899,660,-365,-1459,27,587,336,-43,237,-231,-93,44,-61,-224,9
Bramble Creek,1242,50,-2235,1214,-428,-1640,1,869,731,-154,349,-330,-254,120,-43,-181,7
Braye,-15889,53,-2830,956,-136,-1747,-94,917,998,-175,709,-228,-472,27,29,-317,9
Bridgwater,-17226,50,-2364,992,33,-1623,51,785,840,-248,587,-238,-338,48,-10,-307,8
Bridlington,-25138,51,-2432,12,-513,-1613,-127,754,773,62,374,-57,-242,-15,-17,-133,9
Bridport (West Bay),-18405,45,-2590,1482,49,-1996,59,698,1075,-103,579,-302,-432,59,55,-123,12
Brightlingsea,2482,50,-2176,932,-419,-1640,-28,857,729,-169,369,-302,-252,109,-22,-181,7
Brighton Marina,-792,51,-2648,660,-514,-1884,-41,695,826,-61,573,-94,-381,14,6,-102,8
Broadford Bay,-16339,51,-2647,-873,-323,-1804,-345,955,850,441,423,247,-190,-219,200,-200,9
Ballyglass (Broadhaven),-20360,49,-2390,-157,-399,-1705,-184,768,827,207,493,-20,-258,-85,46,-183,10
Broadstairs,1535,53,-2312,587,-371,-1719,-80,860,845,-158,438,-299,-302,74,-28,-246,9
Brodick Bay,3081,46,-2317,1095,-517,-1517,4,598,816,-222,412,-467,-361,205,-128,-114,14
Brough,-17665,58,-2452,702,-508,-1583,-284,800,489,-140,406,-108,-184,40,92,-314,11
Buckie,2200,49,-2291,197,-525,-1626,-172,814,735,195,353,-65,-230,-47,11,-165,10
Bucklers Hard,-1045,47,-2059,-580,-447,-1616,-144,886,803,15,479,-131,-363,-10,27,-234,11
Bude,-21394,50,-2452,581,-280,-1700,-102,851,875,-6,534,-156,-354,1,12,-245,6
Bulbinbeg,-17810,51,-2634,-928,-480,-1768,-375,865,839,391,527,310,-269,-279,195,-212,10
Bull Sand Fort,-21405,50,-2520,364,-331,-1661,-167,789,839,53,502,-171,-313,21,96,-203,13
Bunessan,-21251,51,-3457,-310,-153,-1649,-130,899,1202,363,1049,205,-609,-314,124,-435,18
Burghead,2415,50,-2254,540,-545,-1620,-133,825,734,202,318,-92,-236,-30,-13,-163,10
Burnham-On-Crouch,3920,51,-2069,1139,-225,-1527,-51,957,581,-116,183,-267,-124,147,-71,-188,9
Burnham-On-Sea,-17180,53,-2340,1213,21,-1618,73,780,839,-242,559,-253,-334,59,-21,-301,8
Burnham (Overy Staithe),-17117,50,-2399,879,-316,-1688,-86,725,898,-89,511,-128,-352,67,79,-215,12
Burntisland,13006,47,-2157,475,-639,-1575,-79,808,657,101,294,-199,-226,66,-52,-131,7
Burra Firth,-5378,49,-2319,114,-332,-1722,-155,790,795,143,483,-11,-249,-85,40,-212,11
Burra Voe (Yell Sound),-2678,50,-2315,145,-343,-1719,-150,793,796,133,483,-26,-250,-77,37,-213,11
Burray Ness,483,50,-2263,263,-416,-1648,-154,807,734,98,388,-63,-258,-56,29,-180,10
Burry Port,-18816,51,-2443,615,-290,-1699,-95,851,871,-19,527,-172,-351,10,6,-244,6
Burton Stather,-16783,63,-2527,339,-294,-1705,-153,736,898,-108,542,-75,-360,37,111,-223,12
Burtonport,-19572,50,-2194,-299,-625,-1580,-76,833,744,122,447,-10,-211,-64,-32,-262,10
Caernarfon,-5203,54,-2466,-95,-477,-1688,-181,862,799,202,527,-25,-312,-80,53,-239,8
Caister-On-Sea,-11536,52,-2184,52,-712,-1506,-193,711,713,165,419,-8,-210,-31,55,-156,19
Calf Sound,-266,50,-2439,385,-400,-1687,-117,866,840,34,472,-122,-301,-25,35,-226,6
Campbeltown,2879,47,-2064,708,-505,-1515,-31,557,810,-231,424,-374,-345,184,-95,-101,14
Camus Nan Gall,-17742,50,-3216,-533,-351,-1815,-322,1027,835,453,520,185,-225,-224,177,-260,10
Cape Cornwall,-24943,53,-2465,205,-243,-1710,-145,848,875,-1,554,-105,-351,-30,38,-243,6
Cardiff,-16470,50,-2442,1268,-43,-1698,31,749,895,-192,558,-223,-391,50,12,-197,7
Cardigan (Town),-11668,50,-2684,90,-283,-1711,-153,877,871,-75,500,-93,-366,6,46,-239,6
Cargreen,-20695,52,-2321,1376,86,-1638,81,893,821,-206,524,-258,-388,39,-89,-260,9
Carloway,-16109,48,-3177,302,-417,-1787,-231,1025,814,483,503,138,-241,-193,132,-256,11
Carmarthen,-18773,50,-2522,410,-277,-1704,-118,860,872,-27,521,-134,-356,-1,23,-242,6
Carnsore Point,-20858,50,-2642,2794,516,-1902,251,779,1059,-608,742,-552,-523,190,-119,-119,15
Carradale,3205,47,-2190,904,-512,-1516,-13,578,813,-228,417,-422,-353,195,-112,-107,14
Carrickfergus,-287,49,-2089,183,-694,-1791,-119,641,661,53,277,-188,-165,37,-82,-99,8
Carrigaholt,-22674,49,-2619,139,-351,-1684,-81,656,756,140,528,66,-246,-51,40,-181,9
Carsaig Bay,-23366,51,-3314,151,-167,-1639,-85,884,1197,411,1060,157,-605,-300,100,-434,18
Carsaig Bay (Mull),-20915,51,-3399,-107,-164,-1645,-109,894,1202,375,1053,173,-610,-301,110,-436,18
Castlebay,-19094,51,-2950,-258,-362,-1794,-294,989,818,487,455,205,-207,-220,171,-225,10
Castletown Bearhaven,-23812,49,-2321,-218,-474,-1787,-159,691,748,161,377,31,-241,-45,-9,-135,6
Castletownshend,-23497,51,-2348,876,-312,-1572,-52,770,812,-60,316,-211,-284,75,-50,-171,6
Cemaes Bay,-2101,52,-2518,-152,-483,-1686,-187,868,801,187,529,-28,-315,-74,58,-241,8
Chatham (Lock Approaches),4903,49,-2032,1047,-288,-1371,-23,868,626,-260,277,-269,-161,138,-42,-264,9
Cheekpoint,-20535,52,-2326,1283,-144,-1770,-63,799,791,-166,392,-306,-309,121,-22,-212,6
Chelsea Bridge,9776,54,-2075,1378,-324,-1543,124,821,719,-174,209,-406,-187,144,-86,-143,7
Chesil Beach,-17220,45,-2550,1570,311,-1900,9,791,905,-124,317,-494,-298,207,-117,-143,9
Chesil Cove,-17570,46,-2533,705,-724,-2110,-291,907,718,31,321,-186,-231,39,104,-270,10
Chester,3334,50,-2434,428,-418,-1684,-110,866,842,16,467,-137,-303,-16,28,-227,6
Chichester Harbour (Entrance),628,44,-2243,348,-461,-1656,135,808,750,54,451,-318,-228,35,-99,-68,9
Clacton-On-Sea,1754,50,-2170,875,-413,-1641,-35,854,730,-167,379,-298,-252,105,-18,-182,6
Clare Island,-21374,50,-2226,-159,-626,-1584,-64,844,743,131,467,-12,-214,-60,-35,-270,10
Clevedon,-16754,52,-2350,1107,24,-1621,63,782,839,-247,572,-248,-336,55,-17,-304,8
Clifden Bay,-22099,50,-2257,-38,-631,-1588,-54,856,745,138,483,-15,-218,-57,-39,-278,10
Clonakilty Bay,-23406,50,-1929,272,-278,-1571,-106,713,811,-71,317,-82,-259,45,-2,-145,5
Clovelly,-20795,51,-2450,590,-282,-1698,-100,850,873,-10,532,-160,-353,3,11,-243,6
Clydebank (Rothesay Dock),5050,48,-2611,1223,-517,-1412,12,494,754,-436,504,-668,-288,379,-120,-119,16
Cobh,-21996,52,-2213,705,-307,-1570,-66,752,811,-69,314,-176,-275,69,-37,-162,5
Cockenzie,11833,50,-2155,441,-632,-1578,-83,804,655,103,295,-194,-226,61,-48,-132,7
Colchester,2926,50,-2198,1075,-427,-1639,-13,863,729,-166,356,-318,-252,116,-33,-180,7
Coleraine,-15074,51,-2036,-2195,-288,-1524,-457,606,863,428,306,386,-107,-366,228,-44,12
Colwyn Bay,-1766,50,-2442,367,-393,-1689,-120,866,840,40,473,-115,-301,-30,38,-226,6
Coney Island,-17737,50,-2509,141,-369,-1679,-77,645,757,119,518,43,-239,-42,35,-176,8
Connah's Quay,-214,50,-2480,51,-380,-1694,-156,864,841,24,483,-89,-303,-43,57,-225,6
Connel,-19729,51,-3549,-579,-146,-1652,-156,905,1204,331,1046,231,-614,-319,138,-435,18
Conwy,-1672,55,-2575,-247,-478,-1688,-199,871,802,182,530,-15,-316,-79,66,-241,8
Coquet Island,14939,50,-2337,54,-551,-1620,-158,811,766,132,387,-102,-257,-27,19,-176,9
Cork City,-21589,53,-2148,616,-304,-1570,-74,744,811,-73,312,-158,-272,66,-30,-158,5
Corpach,-19651,53,-3341,116,-179,-1639,-86,887,1204,379,1062,131,-614,-281,92,-436,17
Corran,-19932,51,-3459,-286,-159,-1647,-127,898,1203,353,1052,190,-613,-304,119,-435,18
Coryton,4728,50,-2146,1035,-418,-1630,21,865,757,-217,357,-366,-230,150,-66,-195,6
Cotehele Quay,-20356,55,-2367,1596,70,-1638,104,896,820,-200,498,-287,-389,52,-104,-260,9
Coulport,3714,46,-2294,1152,-442,-1587,112,435,837,-259,455,-493,-323,222,-222,-64,17
Courtmacsherry,-23062,53,-1995,371,-284,-1571,-97,722,812,-71,316,-103,-263,51,-10,-148,5
Courtown,-9945,57,-2197,-1575,-541,-1653,-252,628,679,184,337,56,-153,-90,166,-127,9
Coverack,-22886,53,-2445,734,-328,-1896,-288,849,903,-149,340,-50,-288,38,51,-103,7
Craignure,-19496,51,-3609,-775,-137,-1656,-176,911,1206,317,1042,257,-614,-329,150,-435,18
Cranfield Point,108,49,-2271,-760,-614,-1641,-154,670,689,187,286,-52,-176,-45,111,-135,9
Cranford Bay,-10391,50,-2603,37,-669,-1582,-46,891,748,90,576,-43,-235,-37,-48,-308,10
Criccieth,-11578,58,-2725,-251,-576,-1622,-111,522,725,29,674,47,-322,-31,38,-214,7
Cromane Point,-23039,51,-1954,314,-282,-1571,-102,716,812,-71,317,-92,-261,47,-5,-147,5
Cromarty,2589,50,-2088,729,-369,-1805,-35,756,690,15,394,-177,-206,19,-81,-137,11
Cromer,-17776,54,-2563,130,-446,-1725,-183,895,883,90,547,-9,-343,-90,96,-241,14
Crookhaven,-24790,51,-1904,222,-269,-1570,-112,708,810,-66,317,-71,-258,40,2,-142,5
Culdaff Bay,-17057,50,-2539,-1386,-335,-1533,-387,668,839,480,435,399,-144,-344,216,-91,11
Culmore Point,-12791,51,-2775,-991,-375,-1532,-351,699,843,478,507,380,-177,-327,208,-119,12
Cumberland Basin Entrance,-15178,50,-2316,1341,6,-1616,87,778,836,-247,542,-273,-331,71,-31,-298,8
Cushendun,-1081,48,-1570,916,-734,-1778,-4,615,666,73,238,-287,-147,69,-136,-99,8
Dale Roads,-19295,51,-2446,608,-288,-1697,-97,850,873,-17,530,-168,-353,9,8,-243,6
Darnett Ness,4469,50,-2191,1050,-453,-1596,0,818,729,-171,318,-316,-221,127,-70,-198,7
Dartmouth,-19792,48,-2265,1386,83,-1637,82,888,820,-210,498,-254,-386,43,-88,-253,9
Deal,-194,56,-2782,468,-460,-2141,-35,621,957,24,566,-271,-364,41,89,-82,10
Deer Sound,-2216,49,-2265,233,-403,-1651,-159,808,732,110,390,-54,-256,-62,34,-180,10
Dell Quay,1338,50,-2155,287,-462,-1654,132,798,751,50,436,-294,-223,35,-90,-59,9
Dingle Harbour,-25467,51,-1826,103,-259,-1571,-123,697,811,-65,317,-45,-253,32,12,-136,5
Dingwall (Cromarty Firth),3764,50,-2015,1029,-352,-1874,-95,737,706,-26,260,-256,-215,-7,14,-74,11
Donaghadee,612,50,-2090,192,-700,-1790,-119,639,662,48,275,-188,-165,37,-84,-98,8
Donegal Harbour (Salt Hill Quay),-19838,50,-2197,-279,-626,-1581,-74,835,744,124,450,-10,-212,-64,-32,-264,10
Dornie Bridge,-16673,54,-2909,-945,563,-2318,38,1191,809,180,558,499,-360,-203,227,-570,17
Douglas,401,52,-2421,141,-487,-1689,-149,768,762,69,421,-46,-286,11,5,-189,8
Dover,-1000,58,-2743,398,-518,-1993,-24,665,977,-11,589,-113,-379,-14,77,-93,8
Downies Bay,-19445,50,-2559,-72,-633,-1595,-64,886,745,127,565,7,-230,-59,-27,-307,10
Drummore,1459,51,-2467,184,-396,-1690,-139,864,842,19,476,-106,-303,-33,45,-226,6
Dublin Bar,1084,47,-2272,-492,-634,-1640,-121,680,690,185,262,-76,-182,-33,93,-131,8
Dublin (North Wall),1344,47,-2269,-377,-641,-1640,-108,685,690,185,254,-89,-184,-28,86,-131,8
Duddon Bar,-446,54,-2439,383,-399,-1688,-117,866,840,34,472,-121,-301,-26,35,-226,6
Dun Laoghaire,1510,46,-2213,-336,-706,-1611,-223,741,716,191,280,-13,-174,-6,64,-159,8
Dunany Point,-105,50,-2269,-622,-621,-1641,-137,676,688,190,274,-64,-178,-39,103,-133,9
Dunbar,12185,49,-2266,89,-579,-1554,-136,690,712,26,378,-162,-184,18,-24,-89,9
Dunbeacon Harbour,-24574,51,-1798,73,-262,-1570,-125,693,811,-69,318,-39,-251,33,15,-134,5
Duncansby Head,-4317,50,-2269,209,-395,-1654,-163,805,732,116,390,-45,-255,-69,35,-179,10
Dundalk,990,50,-2272,-517,-633,-1640,-124,679,690,185,265,-74,-182,-35,94,-132,8
Dundee,13215,49,-2292,413,-409,-1722,-131,591,763,5,320,-87,-218,51,39,-71,9
Dungarvan Harbour,-21567,52,-2109,558,-301,-1570,-79,739,811,-73,313,-145,-270,63,-25,-156,5
Dungeness,-1754,58,-2730,494,-518,-1992,-9,666,977,-4,585,-122,-379,-11,71,-91,8
Dunkerron Harbour,-25284,50,-1561,-273,-240,-1571,-157,661,811,-72,317,37,-238,14,42,-119,5
Dunmanus Harbour,-25063,51,-1746,-7,-256,-1570,-133,686,811,-69,317,-21,-248,27,20,-131,5
Dunmore East,-21682,52,-2275,801,-314,-1570,-57,761,811,-69,314,-195,-278,75,-44,-166,6
Dunstaffnage Bay,-20264,51,-3487,-388,-153,-1648,-137,900,1203,348,1052,209,-612,-311,127,-435,18
East Loch Tarbert (Outer Hebrides),-16799,51,-2773,-637,-342,-1792,-332,962,833,467,426,235,-189,-229,192,-204,10
East Loch Tarbert (Loch Fyne),3561,46,-2314,1100,-519,-1517,5,598,816,-224,410,-469,-360,207,-128,-113,14
Eastbourne,-999,53,-2610,775,-325,-1942,-39,734,893,-69,552,-200,-357,8,21,-129,7
Eastham,225,53,-2300,513,-380,-1671,-61,802,740,56,484,-137,-307,-69,16,-204,7
Egilsay,-4917,49,-2269,203,-393,-1654,-164,805,731,119,391,-42,-255,-70,36,-179,10
English And Welsh Grounds,-16258,50,-2323,1329,11,-1616,85,778,837,-242,544,-268,-332,67,-29,-298,8
Erith,6975,50,-2131,1260,-307,-1600,71,841,734,-320,305,-410,-221,166,-103,-173,6
Esha Ness (Hamna Voe),-8378,50,-2320,80,-318,-1725,-160,789,793,156,483,3,-246,-93,44,-211,11
Exmouth (Approaches),-18149,45,-2207,1668,-228,-2198,143,1169,869,-113,358,-480,-269,169,-82,-252,8
Exmouth Dock,-18248,49,-2250,1620,62,-1634,107,885,818,-209,445,-279,-384,60,-104,-244,9
Eyemouth,12478,49,-2062,-4,-616,-1579,-129,775,653,94,304,-146,-216,46,-17,-124,7
Fair Isle,-1798,47,-2281,352,-358,-1715,-125,794,796,135,480,-49,-252,-65,24,-215,11
Falmouth,-22770,53,-2454,789,-197,-1706,15,904,909,-83,672,-38,-411,-123,-55,-227,9
Fanad Head,-19019,51,-3015,-160,-623,-1614,-85,934,742,125,693,56,-249,-68,-5,-354,11
Fanny's Bay,-16631,50,-2603,-43,-643,-1592,-59,891,744,115,578,-7,-232,-52,-34,-310,10
Faslane,4050,46,-2318,1217,-427,-1485,115,631,727,-245,331,-472,-379,234,-221,-167,15
Felixstowe Pier,661,48,-2157,816,-407,-1548,-45,648,709,-193,259,-183,-198,125,-90,-119,8
Fenit Pier,-24353,51,-1692,-76,-254,-1570,-138,680,811,-73,319,-7,-245,25,27,-128,5
Ferryside,-19372,61,-2524,403,-274,-1705,-119,860,873,-24,522,-131,-356,-3,24,-242,6
Fethard-On-Sea,-21756,51,-2212,707,-308,-1570,-66,752,811,-71,313,-176,-275,70,-37,-162,5
Fidra,12431,48,-2117,266,-628,-1577,-101,794,655,99,299,-175,-222,57,-37,-128,7
Filey Bay,-25859,51,-2257,149,-518,-1610,-107,741,774,69,353,-84,-234,-9,-33,-127,9
Fishguard,-14969,53,-2456,374,-358,-1703,-133,852,841,40,520,-115,-326,-34,35,-241,7
Flannan Isles,-17036,51,-2728,-743,-332,-1792,-343,955,835,466,417,246,-183,-234,198,-198,10
Flat Holm,-16678,50,-2326,1324,13,-1616,84,778,838,-240,546,-265,-332,66,-28,-298,8
Fleetwood,-569,53,-2460,201,-448,-1651,-100,824,768,5,508,-22,-280,-37,7,-250,7
Flixborough Wharf,-16042,64,-2367,999,-325,-1686,-71,725,898,-89,501,-142,-350,76,72,-215,12
Folkestone,-1855,58,-2791,58,-498,-2002,-75,662,978,-17,601,-69,-382,-36,97,-96,8
Folly Inn,455,43,-2063,-564,-453,-1614,-141,887,803,9,477,-138,-363,-4,25,-235,11
Foreland (Lifeboat Slip),403,45,-2121,3,-489,-1597,-86,912,808,27,475,-188,-375,24,-16,-237,11
Formby,-1367,52,-2454,263,-388,-1691,-131,866,840,36,476,-104,-301,-34,45,-225,6
Fort Belan,-5184,51,-2733,-589,-447,-1701,-244,876,801,187,532,52,-318,-108,96,-239,8
Fortrose,2955,50,-2062,686,-331,-1881,-143,738,709,-28,290,-228,-216,-24,36,-77,11
Foula,-7178,51,-2320,93,-324,-1724,-158,790,794,151,483,-2,-247,-90,42,-211,11
Fowey,-21803,51,-2256,1043,111,-1640,43,889,825,-212,560,-208,-390,19,-63,-264,9
Foynes Island,-18937,48,-2510,126,-364,-1680,-79,645,756,124,518,50,-239,-45,37,-176,8
Fraserburgh,3177,50,-2248,-165,-509,-1628,-209,795,736,183,373,-34,-220,-62,35,-160,10
Fremington,-19797,53,-2451,494,-279,-1700,-110,849,873,-18,536,-153,-352,2,17,-243,6
Gairloch,-16137,51,-2138,-800,-553,-1926,-342,581,43,31,326,317,-3,-5,220,-137,8
Galmisdale Pier,-19392,52,-3460,-277,-161,-1646,-126,898,1204,350,1053,184,-615,-301,117,-436,18
Galway,-22400,48,-2256,-40,-629,-1590,-54,857,743,139,482,-15,-216,-58,-40,-279,10
Garelochhead,3861,46,-2312,1104,-520,-1516,5,598,815,-226,408,-470,-359,208,-128,-113,14
Garlieston,1158,50,-2466,180,-395,-1691,-140,864,842,20,477,-104,-303,-34,46,-226,6
Garston,668,54,-2179,465,-443,-1538,-46,778,667,-58,280,-149,-181,27,-15,-205,6
Gills Bay,-6337,47,-2358,-660,-502,-1469,-304,715,765,308,510,96,-299,-180,153,-152,12
Girvan,1922,47,-2514,1369,-521,-1521,29,628,822,-209,410,-530,-374,216,-151,-125,15
Glasgow,5159,48,-2635,1332,-590,-1481,-89,478,924,-380,442,-657,-374,358,-40,-154,19
Glasson Dock,858,50,-2467,176,-393,-1691,-140,863,842,21,478,-103,-303,-35,46,-226,6
Glenelg Bay,-18341,51,-3213,-544,-348,-1817,-324,1028,834,458,518,190,-224,-227,180,-261,10
Glengarrisdale Bay,-20849,51,-3340,93,-173,-1641,-89,889,1202,388,1059,144,-611,-290,97,-436,18
Golspie,1424,50,-2127,839,-556,-1613,-94,816,733,212,509,-197,-230,-17,-35,-213,10
Goole,-15227,66,-2551,184,-497,-1606,-57,643,908,-130,371,-14,-169,-10,-15,-42,12
Great Yarmouth (Gorleston-On-Sea),-8271,49,-2184,656,-540,-1701,-244,706,822,28,254,-193,-199,-100,-50,-58,22
